Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_Cart""), 0)",Firefox 117.0,,,2023-09-24 17:12:25,2023-09-24 17:12:26,1.354s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/btn_PlaceOrder""))",Firefox 117.0,,,2023-09-24 17:12:26,2023-09-24 17:12:27,0.542s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_PlaceOrder""), 0)",Firefox 117.0,,,2023-09-24 17:12:27,2023-09-24 17:12:27,0.399s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Name""), customer_name)",Firefox 117.0,,,2023-09-24 17:12:27,2023-09-24 17:12:28,0.635s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Country""), customer_country)",Firefox 117.0,,,2023-09-24 17:12:28,2023-09-24 17:12:29,0.641s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_City""), customer_city)",Firefox 117.0,,,2023-09-24 17:12:29,2023-09-24 17:12:29,0.642s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_CreditCard""), customer_creditCard)",Firefox 117.0,,,2023-09-24 17:12:29,2023-09-24 17:12:30,0.631s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Month""), customer_month)",Firefox 117.0,,,2023-09-24 17:12:30,2023-09-24 17:12:31,0.640s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Year""), customer_year)",Firefox 117.0,,,2023-09-24 17:12:31,2023-09-24 17:12:31,0.638s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/button_Purchase""))",Firefox 117.0,,,2023-09-24 17:12:31,2023-09-24 17:12:32,0.566s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/button_Purchase""), 0)",Firefox 117.0,,,2023-09-24 17:12:32,2023-09-24 17:12:33,0.792s,PASSED
"verifyElementPresent(findTestObject(""Obj Spy/Purchase_product/button_Purchase""), 0)",Firefox 117.0,,,2023-09-24 17:12:33,2023-09-24 17:12:33,0.307s,PASSED
closeBrowser(),Firefox 117.0,,,2023-09-24 17:12:33,2023-09-24 17:12:34,0.951s,PASSED
